TOKEN	BIO tag	QID
#document_id:Rivista Nazionale di Musica_1921-34-35_1			
#document_date:1921			
#sent_text:Non basta. Diceva Stravinski: -« cari giovani, fi‘nitela con la grande orchestra! Ci vuole IT arte di scrivere per orchestra piccola ». E Busoni: « lo scopo immediato è il raffinamento dell’ economia, giacche abbiamo cotanto famigliare quello della prodigalita ».			
Non	O		
basta	O		
.	O		
Diceva	O		
Stravinski	B-person	Q7314	
:	O		
-	O		
«	O		
cari	O		
giovani	O		
,	O		
fi‘nitela	O		
con	O		
la	O		
grande	O		
orchestra	O		
!	O		
Ci	O		
vuole	O		
IT	O		
arte	O		
di	O		
scrivere	O		
per	O		
orchestra	O		
piccola	O		
»	O		
.	O		
E			
Busoni	B-person	Q219551	
:	O		
«	O		
lo	O		
scopo	O		
immediato	O		
è	O		
il	O		
raffinamento	O		
dell	O		
’	O		
economia	O		
,	O		
giacche	O		
abbiamo	O		
cotanto	O		
famigliare	O		
quello	O		
della	O		
prodigalita	O		
»	O		
.	O		

#document_id:Rivista Nazionale di Musica_1921-34-35_2			
#document_date:1921			
#sent_text:evidente, che, messosi su questa strada, il Busoni dové forzatamente seguire le orme di quattro grandi maestri. Bach, prima di tutti; Mozart, Beethoven, Liszt. Il Busoni è un contrappuntista per grazia di Dio. Come per un grande e vero poeta la molteplice tecnica del metro non @€ impaccio, ma sprone alla libera creazione, cosi per if Busoni la rigida maglia d’acciaio del contrappunto è sostegno pi che impaccio, impaleatura che gli serve a elevare al cielo le costruzioni pit sublimi e pit ardite. 			
evidente	O		
,	O		
che	O		
,	O		
messosi	O		
su	O		
questa	O		
strada	O		
,	O		
il	O		
Busoni	B-person	Q219551	
dové	O		
forzatamente	O		
seguire	O		
le	O		
orme	O		
di	O		
quattro	O		
grandi	O		
maestri	O		
.	O		
Bach	B-person	Q1339	
,	O		
prima	O		
di	O		
tutti	O		
;	O		
Mozart	B-person	Q254	
,	O		
Beethoven	B-person	Q255	
,	O		
Liszt	B-person	Q41309	
.	O		
Il	O		
Busoni	B-person	Q219551	
è	O		
un	O		
contrappuntista	O		
per	O		
grazia	O		
di	O		
Dio	O		
.	O		
Come	O		
per	O		
un	O		
grande	O		
e	O		
vero	O		
poeta	O		
la	O		
molteplice	O		
tecnica	O		
del	O		
metro	O		
non	O		
@€	O		
impaccio	O		
,	O		
ma	O		
sprone	O		
alla	O		
libera	O		
creazione	O		
,	O		
cosi	O		
per	O		
if	O		
Busoni	B-person	Q219551	
la	O		
rigida	O		
maglia	O		
d’acciaio	O		
del	O		
contrappunto	O		
è	O		
sostegno	O		
pi	O		
che	O		
impaccio	O		
,	O		
impaleatura	O		
che	O		
gli	O		
serve	O		
a	O		
elevare	O		
al	O		
cielo	O		
le	O		
costruzioni	O		
pit	O		
sublimi	O		
e	O		
pit	O		
ardite	O		
.	O		

#document_id:Rivista Nazionale di Musica_1921-34-35_3			
#document_date:1921			
#sent_text:Frenandosi con i rigidi dettami dell’ arte, cercando di non sforzare la natura stessa della musica, conviene innovare senza riguardi. Il Busoni dice, al pari del Petrarca: si imita meglio, quando non si imita. 			
Frenandosi	O		
con	O		
i	O		
rigidi	O		
dettami	O		
dell	O		
’	O		
arte	O		
,	O		
cercando	O		
di	O		
non	O		
sforzare	O		
la	O		
natura	O		
stessa	O		
della	O		
musica	O		
,	O		
conviene	O		
innovare	O		
senza	O		
riguardi	O		
.	O		
Il	O		
Busoni	B-person	Q219551	
dice	O		
,	O		
al	O		
pari	O		
del	O		
Petrarca	B-person	Q1401	
:	O		
si	O		
imita	O		
meglio	O		
,	O		
quando	O		
non	O		
si	O		
imita	O		
.	O		

#document_id:Rivista Nazionale di Musica_1921-34-35_4			
#document_date:1921			
#sent_text:Beethoven, 11 Busoni lo sente in modo singolare. Quando lo suona par che abdichi ogni velleita di interpretazione personale, E Beethoven che balza vivo ed intero dalla sua magica tastiera. Lo sente quale titano di un’arte eternamente trasformatrice, laboriosa, irrequieta, scarna, michelangiolesca, vioRIVISTA NAZIONALE DI MUSICA			
Beethoven	B-person	Q255	
,	O		
11	O		
Busoni	B-person	Q219551	
lo	O		
sente	O		
in	O		
modo	O		
singolare	O		
.	O		
Quando	O		
lo	O		
suona	O		
par	O		
che	O		
abdichi	O		
ogni	O		
velleita	O		
di	O		
interpretazione	O		
personale	O		
,	O		
E	O		
Beethoven	B-person	Q255	
che	O		
balza	O		
vivo	O		
ed	O		
intero	O		
dalla	O		
sua	O		
magica	O		
tastiera	O		
.	O		
Lo	O		
sente	O		
quale	O		
titano	O		
di	O		
un’arte	O		
eternamente	O		
trasformatrice	O		
,	O		
laboriosa	O		
,	O		
irrequieta	O		
,	O		
scarna	O		
,	O		
michelangiolesca	O		
,	O		
vioRIVISTA	O		
NAZIONALE	O		
DI	O		
MUSICA	O		

#document_id:Rivista Nazionale di Musica_1921-34-35_5			
#document_date:1921			
#sent_text: Se gli odierni suoi dispregiatori si degnassero di leggere la « MarIl Busont ha di comune con Liszt, oltre la maravigliosa cia funebre dell’imperatore Massimiliano » ! sapienza « planistica », anche il senso divino della Sehnsucht », di quel « desio », che è la base della « Dante-Sinfonia ». « Desio » diverso dall’ « estasi languida » del Debussy; diverso fondamentalmente dal mistico scivolare che lo Scriabin si ostina a fare tra intervalli di seconda e di settima. « Desio » quasi dantesco; maschio, robusto ed ardente, temperato da nobilta castigat’ssima di espressione			
 			
Se	O		
gli	O		
odierni	O		
suoi	O		
dispregiatori	O		
si	O		
degnassero	O		
di	O		
leggere	O		
la	O		
«	O		
MarIl	O		
Busont	B-person	Q219551	
ha	O		
di	O		
comune	O		
con	O		
Liszt	B-person	Q41309	
,	O		
oltre	O		
la	O		
maravigliosa	O		
cia	B-music	NIL	
funebre	I-music	NIL	
dell’imperatore	I-music	NIL	
Massimiliano	I-music	NIL	
»	O		
!	O		
sapienza	O		
«	O		
planistica	O		
»	O		
,	O		
